covariate_level,topic,mean_prevalence,median_prevalence,n_documents,topic_mean,prevalence_lift,article_label,short_label_article,compact_label,plot_label,broader_theme
Neotropical,1,0.06714916553583505,0.005482079016631524,313,0.07714556761774657,-0.00999640208191152,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy
Neotropical,2,0.03971092916937195,7.109112932174366e-4,313,0.07482547138642749,-0.03511454221705554,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis
Neotropical,3,0.06658510126495887,0.0033940277658631494,313,0.14100560851112728,-0.07442050724616842,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA
Neotropical,4,0.0440737208825452,0.0020370987413003486,313,0.10799179417410622,-0.06391807329156102,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics
Neotropical,5,0.16648641133837713,0.003457441278556421,313,0.061236762386414706,0.10524964895196243,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics
Neotropical,6,0.09912316920638486,0.009451154394888686,313,0.22405348509421907,-0.12493031588783421,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Neotropical,7,0.2099978451420649,0.014288775570998925,313,0.11943581954372684,0.09056202559833806,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,"T7. Population genetics, microsatellites and morphometrics",Population structure and phenotypic differentiation
Neotropical,8,0.13538247678484422,0.005109318375034763,313,0.060214599293257585,0.07516787749158663,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,"T8. Gene expression, caste differentiation and reproductive genetics",Functional and reproductive genomics
Neotropical,9,0.06425491134037833,0.0015481362699065837,313,0.09293895138801418,-0.028684040047635848,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,"T9. Gut microbiome, detoxification and exposure responses",Microbiome and environmental stress
Neotropical,10,0.10723626933523946,0.009376261170571963,313,0.0411519406049601,0.06608432873027936,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,"T10. Allozyme, RAPD and enzyme polymorphism markers",Classical marker-based genetics
Indo-Australasian,1,0.06423070572867237,0.004761300181460782,63,0.07714556761774657,-0.012914861889074203,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy
Indo-Australasian,2,0.1841859883947067,0.004282048470544958,63,0.07482547138642749,0.10936051700827921,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis
Indo-Australasian,3,0.08291759239696739,0.006083521369463765,63,0.14100560851112728,-0.058088016114159896,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA
Indo-Australasian,4,0.15788235865706185,0.00893445492376998,63,0.10799179417410622,0.04989056448295563,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics
Indo-Australasian,5,0.01657912803808118,3.289946039369081e-4,63,0.061236762386414706,-0.04465763434833353,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics
Indo-Australasian,6,0.21972071842921026,0.01675257696911341,63,0.22405348509421907,-0.004332766665008814,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Indo-Australasian,7,0.1223843171036122,0.005813684168158144,63,0.11943581954372684,0.0029484975598853547,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,"T7. Population genetics, microsatellites and morphometrics",Population structure and phenotypic differentiation
Indo-Australasian,8,0.04475656888476035,0.0011396322915074404,63,0.060214599293257585,-0.015458030408497234,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,"T8. Gene expression, caste differentiation and reproductive genetics",Functional and reproductive genomics
Indo-Australasian,9,0.09233189780914978,0.0024943282200428104,63,0.09293895138801418,-6.070535788643971e-4,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,"T9. Gut microbiome, detoxification and exposure responses",Microbiome and environmental stress
Indo-Australasian,10,0.015010724557777907,9.950585854988808e-4,63,0.0411519406049601,-0.026141216047182194,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,"T10. Allozyme, RAPD and enzyme polymorphism markers",Classical marker-based genetics
Afrotropical,1,0.10005683158873228,0.002952896318765427,8,0.07714556761774657,0.02291126397098571,"Phylogenomics, taxonomy and evolutionary relationships",Phylogenomics/taxonomy,T1. Phylogenomics/taxonomy,"T1. Phylogenomics, taxonomy and evolutionary relationships",Evolutionary relationships and taxonomy
Afrotropical,2,5.794965952038363e-4,4.22824182259591e-4,8,0.07482547138642749,-0.07424597479122366,Symbiotic bacteria and probiotics,Symbiotic bacteria/probiotics,T2. Symbiotic bacteria/probiotics,T2. Symbiotic bacteria and probiotics,Microbiome and symbiosis
Afrotropical,3,0.27351413187145557,0.026312925435831427,8,0.14100560851112728,0.13250852336032828,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA
Afrotropical,4,0.12201930298271162,0.0020019404402647576,8,0.10799179417410622,0.014027508808605399,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics
Afrotropical,5,6.44747782785814e-4,1.7900621301932397e-4,8,0.061236762386414706,-0.06059201460362889,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics
Afrotropical,6,0.3533165676470621,0.10776828676391172,8,0.22405348509421907,0.12926308255284302,mtDNA/COI marker assays and DNA barcoding,mtDNA/COI markers,T6. mtDNA/COI markers,T6. mtDNA/COI marker assays and DNA barcoding,"Marker assays, barcoding and molecular identification"
Afrotropical,7,0.025925296385503414,0.0024642987448924942,8,0.11943581954372684,-0.09351052315822342,"Population genetics, microsatellites and morphometrics",Population genetics,T7. Population genetics,"T7. Population genetics, microsatellites and morphometrics",Population structure and phenotypic differentiation
Afrotropical,8,5.04752210168189e-4,5.129822251446735e-4,8,0.060214599293257585,-0.0597098470830894,"Gene expression, caste differentiation and reproductive genetics",Expression/caste,T8. Expression/caste,"T8. Gene expression, caste differentiation and reproductive genetics",Functional and reproductive genomics
Afrotropical,9,0.12223004501451444,0.0011470742985644172,8,0.09293895138801418,0.02929109362650026,"Gut microbiome, detoxification and exposure responses",Microbiome/exposure,T9. Microbiome/exposure,"T9. Gut microbiome, detoxification and exposure responses",Microbiome and environmental stress
Afrotropical,10,0.0012088279218629339,2.7349095071147334e-4,8,0.0411519406049601,-0.039943112683097165,"Allozyme, RAPD and enzyme polymorphism markers",Allozyme/RAPD markers,T10. Allozyme/RAPD markers,"T10. Allozyme, RAPD and enzyme polymorphism markers",Classical marker-based genetics
