genus,n_articles_ai_studied_genus_combined
Melipona,178
Tetragonula,46
Tetragonisca,44
Scaptotrigona,42
Partamona,40
Trigona,31
Heterotrigona,30
Frieseomelitta,20
Plebeia,19
Lepidotrigona,18
