K,heldout_likelihood,residual_dispersion,semantic_coherence,exclusivity,lower_bound,composite_score
5,-6.589386025053041,1.571958129772984,-58.82114837446926,8.904272397882215,-243472.5111225035,0.3270688060700511
8,-6.519339713763614,1.4792227708211296,-67.23171554096612,9.399025617676532,-236691.28787197464,0.6012884450820943
10,-6.505577622405331,1.4517564499049724,-66.1237432849589,9.424410987384643,-233973.9604915531,0.6844028845125271
12,-6.555573736230081,1.4272494502728623,-78.56136988816193,9.512483057142283,-232598.8538864749,0.5782204701616207
15,-6.567130848971834,1.4034646739735983,-73.28196060298067,9.57879028106835,-228875.22741179573,0.6974154033751732
20,-6.634763462891094,1.390545307562555,-73.71029805141472,9.60980874692047,-224793.93207339477,0.6909552462894901
25,-6.673365469879424,1.4319895809761551,-77.40222099802445,9.544732190897305,-222740.7026847353,0.5727733293268873
30,-6.735406309230911,1.5402106036735796,-77.24533770951462,9.600402807349164,-219250.06621467747,0.44566749769341946
