doc_id,title,year,doi,studied_genera,n_studied_genera,regions_detected,n_regions_detected,unassigned_genera,single_biogeographic_region,article_region_assignment
59,"Phylogeography of Partamona rustica (Hymenoptera, Apidae), an endemic stingless bee from the neotropical dry forest diagonal",2016,10.1371/journal.pone.0164441,Partamona,1,Neotropical,1,,Neotropical,Neotropical
60,"Molecular phylogeny of the stingless bees (Apidae, Apinae, Meliponini) inferred from mitochondrial 16S rDNA sequences",2003,10.1051/apido:2002051,Austroplebeia; Axestotrigona; Heterotrigona; Hypotrigona; Lepidotrigona; Meliplebeia; Plebeia; Plebeina,8,Afrotropical; Indo-Australasian; Neotropical,3,,NA,Multi-region article
61,"Is the São Francisco River a historical barrier to gene flow for populations of Melipona mandacaia Smith, 1863 (Hymenoptera: Apidae)?",2023,10.1007/s10841-023-00466-y,Melipona,1,Neotropical,1,,Neotropical,Neotropical
62,"Complete mitochondrial genome sequence of Melipona scutellaris, a Brazilian stingless bee",2016,10.3109/19401736.2015.1018233,Melipona,1,Neotropical,1,,Neotropical,Neotropical
63,"A RAPD marker associated with B chromosomes in Partamona helleri (Hymenoptera, Apidae)",2004,10.1159/000079299,Partamona,1,Neotropical,1,,Neotropical,Neotropical
64,The mitochondrial genome of Melipona fasciculata and Melipona quadrifasciata: molecular evolution dynamics in stingless bees (Hymenoptera: Meliponini) mitogenomes,2025,10.1080/00218839.2025.2477412,Lepidotrigona; Melipona; Tetragonula,3,Indo-Australasian; Neotropical,2,,NA,Multi-region article
65,"Unveiling the Cultivation-Dependent Gut Bacterial Microbiota in the Feral Stingless Bee, Tetragonula iridipennis Smith (Hymenoptera: Apidae)",2025,10.13102/sociobiology.v72i3.11205,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
66,Evidence for morphological and genetic structuring of Plebeia flavocincta (Apidae: Meliponini) populations in Northeast Brazil,2022,10.3389/fevo.2022.1057624,Plebeia,1,Neotropical,1,,Neotropical,Neotropical
67,Mitochondrial genome characterization of Melipona bicolor: Insights from the control region and gene expression data,2019,10.1016/j.gene.2019.04.042,Melipona,1,Neotropical,1,,Neotropical,Neotropical
68,Study of microsatellite markers in stingless bees Melipona colimana and M. beecheii from mesoamerica; [Estudio de microsatélites en las abejas sin aguijón Melipona colimana y M. beecheii de mesoamérica],2014,10.4321/s0004-05922014000100014,Melipona,1,Neotropical,1,,Neotropical,Neotropical
69,Cytogenomics of Frieseomelitta varia (Hymenoptera: Apidae) and the Sharing of a Satellite DNA Family in Several Neotropical Meliponini Genera,2025,10.3390/genes16010086,Frieseomelitta,1,Neotropical,1,,Neotropical,Neotropical
70,Similarity of heterochromatic regions in the stingless bees (Hymenoptera: Meliponini) revealed by chromosome painting,2014,10.1080/0144235x.2014.974349,Melipona; Tetragonisca,2,Neotropical,1,,Neotropical,Neotropical
71,"Extraction of genomic DNA from Melipona quadrifasciata (Hymenoptera: Apidae, Meliponinae)",1997,10.1590/s0100-84551997000300011,Melipona,1,Neotropical,1,,Neotropical,Neotropical
72,Molecular Characterization of the Indigenous Stingless Bees (Tetragonula spp. Complex) Using ISSR Marker from Southern Peninsular India,2018,10.1007/s13744-017-0538-7,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
73,"Phylogenomic insights into the worldwide evolutionary relationships of the stingless bees (Apidae, Meliponini)",2024,10.1016/j.ympev.2024.108219,Cephalotrigona; Ebaiotrigona; Frieseomelitta; Lepidotrigona; Oxytrigona; Papuatrigona; Paratrigonoides; Pariotrigona; Trichotrigona,9,Indo-Australasian; Neotropical,2,,NA,Multi-region article
74,"Diploid males of Scaptotrigona depilis are able to join reproductive aggregations (Apidae, Meliponini)",2015,10.3897/jhr.42.4769,Scaptotrigona,1,Neotropical,1,,Neotropical,Neotropical
75,A protocol for isolating insect mitochondrial genomes: A case study of NUMT in Melipona flavolineata (Hymenoptera: Apidae),2016,10.3109/19401736.2015.1028049,Melipona,1,Neotropical,1,,Neotropical,Neotropical
76,"Alelle number and heterozigosity for microsatellite loci in different stingless bee species (Hymenoptera: Apidae, Meliponini)",2006,10.1590/s1519-566x2006000500011,Partamona; Plebeia,2,Neotropical,1,,Neotropical,Neotropical
77,The extensive amplification of heterochromatin in Melipona bees revealed by high throughput genomic and chromosomal analysis,2021,10.1007/s00412-021-00764-x,Melipona,1,Neotropical,1,,Neotropical,Neotropical
78,"A Study on Intraspecific Resource Partitioning in the Stingless bee Scaptotrigona mexicana Guérin (Apidae, Meliponini) Using Behavioral and Molecular Techniques",2016,10.1007/s13744-016-0404-z,Scaptotrigona,1,Neotropical,1,,Neotropical,Neotropical
79,Unraveling genetic parameters for the corbicular area of Tetragonisca angustula (Hymenoptera: Apidae),2024,10.1080/00218839.2022.2077545,Tetragonisca,1,Neotropical,1,,Neotropical,Neotropical
80,"Glucose phosphate isomerase, malate dehydrogenase and isocitrate dehydrogenase allozyme variation in the stingless bee, trigona (tetragonula) fuscobalteata (insecta: hymenoptera: apidae), from peninsular malaysia",1987,10.1016/0305-0491(87)90037-x,Tetragonula; Trigona,2,Indo-Australasian; Neotropical,2,,NA,Multi-region article
81,Isolation and characterization of ten microsatellite loci in stingless bee Trigona spinipes (Apidae: Meliponini),2015,10.1111/ens.12095,Frieseomelitta; Partamona; Tetragonisca; Trigona,4,Neotropical,1,,Neotropical,Neotropical
82,Molecular genetic diversity in populations of the stingless bee Plebeia remota: A case study,2013,10.1590/s1415-47572013000100017,Plebeia,1,Neotropical,1,,Neotropical,Neotropical
83,"Karyotypes and heterochromatin variation (C-bands) in Melipona species (Hymenoptera, Apidae, Meliponinae)",1998,10.1590/s1415-47571998000100008,Melipona,1,Neotropical,1,,Neotropical,Neotropical
84,Temporal changes in the microbiome of stingless bee foragers following colony relocation,2021,10.1093/femsec/fiaa236,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
85,Outbreeding and lack of temporal genetic structure in a drone congregation of the neotropical stingless bee Scaptotrigona mexicana,2012,10.1002/ece3.203,Scaptotrigona,1,Neotropical,1,,Neotropical,Neotropical
86,"Proportion of males sons-of-the-queen and sons-of-workers in Plebeia droryana (Hymenoptera, Apidae) estimated from data of an MDH isozymic polymorphic system",1984,10.1007/bf00122905,Plebeia,1,Neotropical,1,,Neotropical,Neotropical
87,"Development of a SCAR marker for the analysis of B chromosome presence in Partamona helleri (Hymenoptera, Apidae)",2007,10.1159/000097430,Partamona,1,Neotropical,1,,Neotropical,Neotropical
88,Viruses in Brazilian stingless bees,2024,10.1080/00218839.2024.2317066,Melipona; Nannotrigona; Partamona; Scaptotrigona; Tetragonisca; Trigona,6,Neotropical,1,,Neotropical,Neotropical
89,"Gene variation, population differentiation, and sociogenetic structure of nests of partamona seridoensis (Hymenoptera: Apidae, Meliponini)",2012,10.1007/s10528-011-9465-1,Partamona,1,Neotropical,1,,Neotropical,Neotropical
90,The Insecticide Imidacloprid Decreases Nannotrigona Stingless Bee Survival and Food Consumption and Modulates the Expression of Detoxification and Immune-Related Genes,2022,10.3390/insects13110972,Nannotrigona,1,Neotropical,1,,Neotropical,Neotropical
91,"Molecular species delimitation and historical biogeography among species of the genus Partamona (Hymenoptera: Apidae: Meliponini), with emphasis on the Eastern group from South America",2025,10.1093/zoolinnean/zlaf006,Partamona,1,Neotropical,1,,Neotropical,Neotropical
92,"Genetic variability in five populations of Partamona helleri (Hymenoptera, Apidae) from Minas Gerais state, Brazil",2010,10.1590/s1415-47572010005000087,Partamona,1,Neotropical,1,,Neotropical,Neotropical
93,Morphometric and genetic analyses differentiate Mesoamerican populations of the endangered stingless bee Melipona beecheii (Hymenoptera: Meliponidae) and support their conservation as two separate units,2012,10.1007/s10841-012-9457-4,Melipona,1,Neotropical,1,,Neotropical,Neotropical
94,"DNA Barcoding applied to the identification of Meliponini in the Lençóis Maranhenses microregion, Brazil; [DNA Barcoding aplicado à identificação de meliponíneos na microrregião Lençóis Maranhenses, Brasil]",2025,10.1590/1519-6984.295935,Melipona,1,Neotropical,1,,Neotropical,Neotropical
95,Robertsonian rearrangements in Neotropical Meliponini karyotype evolution (Hymenoptera: Apidae: Meliponini),2021,10.1111/imb.12702,Melipona,1,Neotropical,1,,Neotropical,Neotropical
96,"Microsatellite loci for an endemic stingless bee Melipona seminigra merrillae (Apidae, meliponini) from Amazon",2009,10.1007/s12686-009-9113-9,Melipona,1,Neotropical,1,,Neotropical,Neotropical
97,Mitochondrial DNA characterization of five species of Plebeia (Apidae: Meliponini): RFLP and restriction maps,2001,10.1051/apido:2001132,Plebeia,1,Neotropical,1,,Neotropical,Neotropical
98,Shifting range in a stingless bee leads to pre-mating reproductive interference between species,2023,10.1007/s10592-023-01512-7,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
99,"Karyotypic description of the stingless bee Melipona quinquefasciata Lepeletier, 1836 (Hymenoptera, Meliponini) with emphasis on the presence of B chromosomes",2018,10.3897/compcytogen.v12i4.29165,Melipona,1,Neotropical,1,,Neotropical,Neotropical
100,"Genetic variability and population structure in Melipona scutellaris (Hymenoptera: Apidae) from Bahia, Brazil, based on molecular markers",2013,10.1007/s13592-013-0220-y,Melipona,1,Neotropical,1,,Neotropical,Neotropical
101,Males Are Capable of Long-Distance Dispersal in a Social Bee,2022,10.3389/fevo.2022.843156,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
102,Possible introgression of B chromosomes between bee species (genus partamona),2014,10.1159/000370171,Partamona,1,Neotropical,1,,Neotropical,Neotropical
103,"Karyological Analysis of a Stingless Bee, Melipona favosa (Apidae, Hymenoptera)",1988,10.1508/cytologia.53.153,Melipona,1,Neotropical,1,,Neotropical,Neotropical
104,Effect of symbiotic bee fungus on survival of stingless bee Heterotrigona itama larvae,2022,10.21161/mjm.211205,Heterotrigona,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
105,An absence of enzyme variability within two species of Trigona (Hymenoptera),1983,10.1038/hdy.1983.12,Trigona,1,Neotropical,1,,Neotropical,Neotropical
106,"Distinct fungal microbiomes of two Thai commercial stingless bee species, Lepidotrigona terminata and Tetragonula pagdeni suggest a possible niche separation in a shared habitat",2024,10.3389/fcimb.2024.1367010,Lepidotrigona; Tetragonula,2,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
107,Genetic structure of drone congregations of the stingless bee Scaptotrigona mexicana,2008,10.1007/s00040-007-0966-1,Scaptotrigona,1,Neotropical,1,,Neotropical,Neotropical
108,"Genetic and morphometric variation in populations of Partamona cupira and Partamona mulata, stingless bees endemic to the Cerrado biome in Brazil",2025,10.1093/biolinnean/blae072,Partamona,1,Neotropical,1,,Neotropical,Neotropical
109,"ENHANCED DNA EXTRACTION FROM TRIGONA HONEY: A LOW-VOLUME OF SAMPLE, HIGH-PURITY APPROACH FOR MOLECULAR RESEARCH",2025,10.31648/pjns.11421,Trigona,1,Neotropical,1,,Neotropical,Neotropical
110,"Complete Mitochondrial Genome Characterization and Phylogenomics of the Stingless Bee, Heterotrigona itama (Apidae: Meliponini)",2025,10.3390/insects16050535,Heterotrigona,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
111,"Morphometrical, biochemical and molecular tools for assessing biodiversity. An example in Plebeia remota (Holmberg, 1903) (Apidae, Meliponini)",2008,10.1007/s00040-008-0992-7,Plebeia,1,Neotropical,1,,Neotropical,Neotropical
112,Development of a species-diagnostic marker for identification of the stingless bee Trigona pagdeni in Thailand,2010,10.1007/s10528-009-9300-0,Trigona,1,Neotropical,1,,Neotropical,Neotropical
113,"Quantitative genetics of multivariate morphometric variation in the neotropical stingless bee, Scaptotrigona postica (Hymenoptera: Meliponinae)",1994,,Scaptotrigona,1,Neotropical,1,,Neotropical,Neotropical
114,Geographic distribution and spatial differentiation in the color pattern of abdominal stripes of the neotropical stingless bee Melipona quadrifasciata (Hymenoptera:Apidae),2009,10.1590/s1984-46702009000200003,Melipona,1,Neotropical,1,,Neotropical,Neotropical
115,"Stingless Bee, Tetragonula iridipennis Smith, 1854 (Hymenoptera: Apidae: Meliponini): Molecular and Morphological Characterization",2018,10.1007/s40011-016-0757-4,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
116,"Heteroplasmy, inverted repeats, and genetic differentiation of the stingless bee Heterotrigona itama (Hymenoptera, Apidae, Meliponini) mitochondrial genome",2025,10.1007/s13592-025-01230-8,Heterotrigona,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
117,Reassessing Hybridisation in Australian Tetragonula Stingless Bees Using Multiple Genetic Markers,2025,10.1002/ece3.70912,Tetragonula,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
118,"Scaptona ramosa gen. nov., sp. nov., isolated from nest of the stingless bee",2024,10.1099/ijsem.0.006227,,0,,0,,NA,No region assigned
119,"Mitochondrial DNA: a promising tool for characterising the population of the Tiúba stingless bee, Melipona fasciculata (Apidae, Meliponini); [DNA mitocondrial: uma ferramenta promissora para caracterizar a população da abelha-sem-ferrão Tiúba, Melipona fasciculata (Apidae, Meliponini)]",2024,10.1590/1519-6984.288003,Melipona,1,Neotropical,1,,Neotropical,Neotropical
120,"Characterization of microsatellite loci of tetragonisca angustula (Hymenoptera, Apidae, Meliponini)",2009,10.1007/s12686-009-9045-4,Lestrimelitta; Schwarziana; Tetragonisca,3,Neotropical,1,,Neotropical,Neotropical
121,Stingless Bee Larvae Require Fungal Steroid to Pupate,2018,10.1038/s41598-018-19583-9,Scaptotrigona,1,Neotropical,1,,Neotropical,Neotropical
122,Black queen cell virus detected in endemic African stingless bees (Apidae: Meliponinae),2024,10.1007/s42690-024-01303-8,Hypotrigona; Meliponula,2,Afrotropical,1,,Afrotropical,Afrotropical
123,"Species description, morphometric measurement and molecular identification of stingless bees (Hymenoptera: Apidae: Meliponini) in meliponiculture industry in West Java Province, Indonesia",2021,,Heterotrigona; Lepidotrigona; Tetragonula,3,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
124,"Karyotypic description and repetitive DNA chromosome mapping of melipona interrupta latreille, 1811 (Hymenoptera: Meliponini)",2019,10.13128/cayologia-239,Melipona,1,Neotropical,1,,Neotropical,Neotropical
125,"A molecular marker distinguishes the subspecies Melipona quadrifasciata quadrifasciata and Melipona quadrifasciata anthidioides (Hymenoptera: Apidae, Meliponinae)",2000,10.1590/s1415-47572000000300019,Melipona,1,Neotropical,1,,Neotropical,Neotropical
126,Very low mitochondrial variability in a stingless bee endemic to cerrado,2013,10.1590/s1415-47572013000100018,Partamona,1,Neotropical,1,,Neotropical,Neotropical
127,"Genetic diversity and population structure of an endemic bee Wallacetrigona incisa in South Sulawesi, Indonesia",2025,10.13057/biodiv/d260235,Wallacetrigona,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
128,Fungal diversity in larval diets of Melipona interrupta: Impacts on queen development and survival,2025,10.1590/1678-4685-gmb-2025-0021,Melipona,1,Neotropical,1,,Neotropical,Neotropical
129,"Intraspecific variation in the first internal transcribed spacer (ITS1) of the nuclear ribosomal DNA in Melipona subnitida (Hymenoptera, Apidae), an endemic stingless bee from northeastern Brazil",2006,10.1051/apido:2006003,Melipona,1,Neotropical,1,,Neotropical,Neotropical
130,Insights into the heterochromatin evolution in the genus Melipona (Apidae: Meliponini),2020,10.1007/s00040-020-00773-6,Melipona,1,Neotropical,1,,Neotropical,Neotropical
131,Probiotic properties of bacteria isolated from bee bread of stingless bee Heterotrigona itama,2020,10.1080/00218839.2020.1801152,Heterotrigona,1,Indo-Australasian,1,,Indo-Australasian,Indo-Australasian
132,"Detection of diploid males in a natural colony of the cleptobiotic bee Lestrimelitta sp (Hymenoptera, apidae)",2010,10.1590/s1415-47572010000300019,Lestrimelitta,1,Neotropical,1,,Neotropical,Neotropical
133,"Gene expression profiles underlying alternative caste phenotypes in a highly eusocial bee, Melipona quadrifasciata",2006,10.1111/j.1365-2583.2005.00605.x,Melipona,1,Neotropical,1,,Neotropical,Neotropical
134,DNA methylation in stingless bees with low and high heterochromatin contents as assessed by restriction enzyme digestion and image analysis,2006,10.1002/cyto.a.20312,Melipona,1,Neotropical,1,,Neotropical,Neotropical
