year,topic,article_label,short_label_article,compact_label,plot_label,broader_theme,mean_prevalence,n_documents,prevalence_smooth
1994,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.011208195107016684,2,0.11964592529303779
1995,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.3477295807720967,4,0.11964592529303779
1996,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0,0,0.1435053006408713
1997,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.08278632115051726,2,0.029495219250098646
1998,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.005699336599778677,2,0.031930838151202685
1999,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.0073068567033121225,2,0.00510489321239883
2000,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.002308486334105693,3,0.014842791107464035
2001,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.03491303028497429,3,0.013267043300772436
2002,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.002579613283237325,3,0.013105202590000907
2003,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.001822964201791108,3,0.009105172042140808
2004,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.022912938641393994,6,0.008488237611487263
2005,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,7.288099912766867e-4,7,0.009246556180267502
2006,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.004097919908131826,9,0.0020707955725664073
2007,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.0013856568182907091,8,0.0021632838082706793
2008,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.0010062746983895028,9,0.002630845924794187
2009,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.00550060625770235,15,0.0036047154765155116
2010,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.004307265473454683,17,0.004790987542689822
2011,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.004565090896912434,11,0.015079924064307094
2012,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.03636741582255417,13,0.01924934726885173
2013,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.016815535087088582,15,0.021074497783298354
2014,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.01004054244025231,16,0.07573028936514432
2015,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.2003347905680921,5,0.07602314052257776
2016,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.017694088559388876,10,0.0910972894730716
2017,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.05526298929173381,12,0.03951263620608757
2018,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.04558083076714004,16,0.07626096688578879
2019,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.12793908059849252,16,0.08613106144845917
2020,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.08487327297974497,16,0.10522053885206513
2021,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.10284926297795793,26,0.08303329212968064
2022,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.06137734043133903,23,0.10951578044779474
2023,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.16432073793408727,31,0.15153719309754946
2024,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.22891350092722204,21,0.1609326920428238
2025,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.08956383726716208,39,0.13381631400284247
2026,3,"Viral pathogens, floral resources and metabarcoding",Pathogens/metabarcoding,T3. Pathogens/metabarcoding,"T3. Viral pathogens, floral resources and metabarcoding",Disease ecology and environmental DNA,0.08297160381414329,11,0.08297160381414329
1950,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.0028194454011752396,2,0.0028194454011752396
1951,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,9.398151337250798e-4
1952,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0
1953,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0
1954,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0
1955,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0
1956,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0
1957,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0
1958,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0
1959,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0
1960,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0
1961,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0
1962,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0
1963,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0
1964,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0
1965,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,5.285282844678477e-4
1966,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.0015855848534035433,1,5.285282844678477e-4
1967,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,5.285282844678477e-4
1968,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,2.2602127842253006e-4
1969,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,6.780638352675902e-4,3,0.0015901789163106116
1970,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.004092472913664245,1,0.0015901789163106116
1971,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0.0021483652849748586
1972,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.002352622941260331,2,7.842076470867769e-4
1973,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,9.230021805174551e-4
1974,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,4.163836002920345e-4,1,7.47625787362308e-4
1975,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.0018264937617948898,2,9.319410571624058e-4
1976,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,5.529458094002933e-4,1,7.931465237317277e-4
1977,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,1.8431526980009776e-4
1978,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0.0011299085986861829
1979,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.0033897257960585486,2,0.0011299085986861829
1980,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0.0011299085986861829
1981,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0
1982,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0.0029564879945510433
1983,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.00886946398365313,2,0.0029731752101196498
1984,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,5.0061646705819823e-5,1,0.0029731752101196498
1985,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,7.757302805452128e-5
1986,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,1.8265743745774404e-4,3,2.2538872824693008e-4
1987,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,4.935087472830462e-4,3,0.001136022139219763
1988,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.0027319002329184994,1,0.0010965614468354508
1989,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,6.427536030480727e-5,1,9.3787065135301e-4
1990,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,1.7436360835723514e-5,1,3.4113973608039726e-5
1991,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,2.0630199683588394e-5,4,0.021053754998130236
1992,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.06312319843387139,3,0.02104794287785166
1993,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0.02297800288574144
1994,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.005810810223352936,2,0.0020049054954697377
1995,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,2.0390626305627753e-4,4,0.0020049054954697377
1996,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0,0,0.002277065481768648
1997,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.006627290182249667,2,0.03833417371282627
1998,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.10837523095622914,2,0.06262777716321144
1999,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.07288081035115554,2,0.06055382566884372
2000,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,4.054356991464849e-4,3,0.03760797984837645
2001,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.039537693494827345,3,0.035556279174728755
2002,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.06672570833021245,3,0.03735372853876722
2003,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.005797783791261882,3,0.02931487877323608
2004,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.015421144198233908,6,0.013385341132097408
2005,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.018937095406796434,7,0.04894633237266379
2006,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.11248075751296104,9,0.04766095746884175
2007,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.011565019486767782,8,0.08070684649560408
2008,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.11807476248708344,9,0.0439946705375259
2009,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.0023442296387264946,15,0.04229533367976303
2010,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.006467008913479156,17,0.005865475724510322
2011,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.008785188621325317,11,0.011539515629661067
2012,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.01936634935417873,13,0.03162859334547602
2013,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.066734242060924015,15,0.05169127568600702
2014,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.06897323564291831,16,0.04554190126455428
2015,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,9.182260898205277e-4,5,0.07022541304525623
2016,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.14078477740302986,10,0.049227295341934124
2017,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.00597888253295199,12,0.050735615704572704
2018,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.005443187177736277,16,0.03587620725826239
2019,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.09620655206409891,16,0.08875941506597998
2020,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.16462850595610476,16,0.10863412508414295
2021,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.06506731723222521,26,0.09798659089138247
2022,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.06426394948581744,23,0.07728896616315592
2023,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.10253563177142513,31,0.10565681053880542
2024,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.15017085035917366,21,0.13837900242054305
2025,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.16243052513103037,39,0.17192044985026295
2026,4,Mitogenomics and mitochondrial genome evolution,Mitogenomics,T4. Mitogenomics,T4. Mitogenomics and mitochondrial genome evolution,Genome architecture and comparative genomics,0.20315997406058486,11,0.20315997406058486
1950,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0.03322020868639382,2,0.03322020868639382
1951,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,0.011073402895464605
1952,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,0
1953,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,0
1954,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,0
1955,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,0
1956,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,0
1957,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,0
1958,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,0
1959,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,0
1960,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,0
1961,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,0
1962,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,0
1963,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,0
1964,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,0
1965,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,6.576068538496401e-4
1966,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0.0019728205615489203,1,6.576068538496401e-4
1967,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,6.576068538496401e-4
1968,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,0.010850696201829286
1969,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0.03255208860548786,3,0.018616416796447117
1970,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0.023297161783853493,1,0.018616416796447117
1971,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0,0,0.026069907622890628
1972,5,"Cytogenetics, karyotypes and chromosome architecture",Cytogenetics/karyotypes,T5. Cytogenetics/karyotypes,"T5. Cytogenetics, karyotypes and chromosome architecture",Cytogenetics and cytogenomics,0.054912561084818394,2,0.018304187028272797
