K,exclus,semcoh,heldout,residual,bound,lbound,em.its,score_semcoh,score_exclusivity,score_heldout,score_residual,score_bound,composite_score,composite_rank,selected_for_final_model,selected_by_composite_score
5,8.904272397882215,-58.82114837446926,-6.589386025053041,1.5719581297729839,-243472.5111225035,-243467.7236307607,86,1,0,0.6353440303502556,0,0,0.3270688060700511,8,FALSE,FALSE
8,9.399025617676532,-67.23171554096612,-6.519339713763614,1.4792227708211296,-236691.28787197464,-236680.6832690719,94,0.5739375487421493,0.701244125081203,0.9401202193322072,0.5111841479665991,0.2799561842883132,0.6012884450820943,4,FALSE,FALSE
10,9.424410987384645,-66.1237432849589,-6.505577622405331,1.4517564499049724,-233973.9604915531,-233958.85607898002,86,0.6300651993482318,0.7372243686827082,1,0.6625864611079367,0.39213839342375856,0.6844028845125271,3,TRUE,FALSE
12,9.512483057142285,-78.56136988816193,-6.555573736230081,1.4272494502728623,-232598.8538864749,-232578.86667197925,62,0,0.8620543223451874,0.7824635622502055,0.7976761385271179,0.44890832768559263,0.5782204701616207,5,FALSE,FALSE
15,9.57879028106835,-73.28196060298067,-6.567130848971834,1.4034646739735985,-228875.22741179573,-228847.32814041188,130,0.2674442777412215,0.9560356232610813,0.7321777911335499,0.9287847118322328,0.6026346129077801,0.6974154033751732,1,FALSE,TRUE
20,9.60980874692047,-73.71029805141472,-6.634763462891094,1.390545307562555,-224793.93207339477,-224751.59645693403,162,0.24574556234752967,1,0.437903760970434,1,0.7711269081294873,0.6909552462894901,2,FALSE,FALSE
25,9.544732190897303,-77.40222099802445,-6.673365469879424,1.4319895809761551,-222740.7026847353,-222682.69907951233,99,0.05872015617116816,0.9077630002878306,0.2699438447323643,0.7715471656930228,0.85589247975005045,0.5727733293268873,6,FALSE,FALSE
30,9.600402807349164,-77.24533770951462,-6.735406309230911,1.5402106036735796,-219250.06621467747,-219175.40797832864,162,0.0666675486764149,0.9866683841532375,0,0.1750015556374446,1,0.44566749769341946,7,FALSE,FALSE
