doc_id,article_id,title,year,doi,source_database,genus_raw,genus_for_stm,n_genera_mentioned,mentioned_genera
362,362,The role of sex-biased dispersion in promoting mitonuclear discordance in Partamona helleri (Hymenoptera: Apidae: Meliponini),2022,10.1093/biolinnean/blac046,Scopus,Partamona,Partamona,1,Partamona
363,363,"DNA BARCODING OF STINGLESS BEES FROM KALIMANTAN, INDONESIA",2026,10.55446/ije.2025.1880,Scopus,Multiple,Multiple,6,Geniotrigona; Heterotrigona; Homotrigona; Lepidotrigona; Tetragonula; Wallacetrigona
364,364,A geometric morphometric and microsatellite analyses of Scaptotrigona mexicana and S. pectoralis (Apidae: Meliponini) sheds light on the biodiversity of Mesoamerican stingless bees,2016,10.1007/s10841-016-9899-1,Scopus,Scaptotrigona,Scaptotrigona,1,Scaptotrigona
365,365,Assessment of the midgut microbiota in foragers of the stingless bee Melipona scutellaris following short-term sublethal exposure to imidacloprid,2025,10.1371/journal.pone.0339982,Scopus,Melipona,Melipona,1,Melipona
366,366,Isolation and partial characterisation of DNA from the bee Proplebeia dominicana (Apidae: Hymenoptera) in 25-40 million year old amber,1992,,Scopus,Proplebeia,Other_rare_genera,1,Proplebeia
367,367,"New molecular evidence for fragmentation between two distant populations of the threatened stingless bee Melipona subnitida Ducke (Hymenoptera, Apidae, Meliponini)",2014,10.3897/jhr.38.7302,Scopus,Melipona,Melipona,1,Melipona
368,368,Microbial diversity in stingless bee gut is linked to host wing size and influenced by the environment,2023,10.1016/j.jip.2023.107909,Scopus,Multiple,Multiple,2,Austroplebeia; Tetragonula
369,369,"Isoenzyme variation in Melipona rufiventris (Hymenoptera: Apidae, Meliponina) in Minas Gerais State, Brazil",2005,10.1007/s10528-005-1066-4,Scopus,Melipona,Melipona,1,Melipona
370,370,Inconsistent changes on infuscation and length of the forewing of Heterotrigona itama populations supported by COI Phylogeny,2025,10.1080/00218839.2024.2323882,Scopus,Heterotrigona,Heterotrigona,1,Heterotrigona
371,371,"Geographic variation in tetragonisca angustula (hymenoptera, apidae, meliponinae)",2005,10.1080/00218839.2005.11101157,Scopus,Multiple,Multiple,2,Scaptotrigona; Tetragonisca
372,372,"A Deep Metagenomic Snapshot as a Proof-of-Concept for Resource Generation: Simultaneous Assembly of Host, Food, and Microbiome Genomes From Stingless Bee Larval Food",2025,10.1002/ece3.72546,Scopus,Tetragonisca,Tetragonisca,1,Tetragonisca
373,373,"Cytogenetic Analysis and Chromosomal Mapping of Repetitive DNA in Melipona Species (Hymenoptera, Meliponini)",2019,10.1159/000501754,Scopus,Melipona,Melipona,1,Melipona
374,374,Phylogenetic analyses of antibiotic-producing Streptomyces sp. isolates obtained from the stingless-bee Tetragonisca angustula (Apidae: Meliponini),2019,10.1099/mic.0.000754,Scopus,Tetragonisca,Tetragonisca,1,Tetragonisca
375,375,Karyotypic variation in the stingless bee Trigona spinipes (Hymenoptera: Apidae: Meliponini) from different geographical regions of Brazil,2021,10.1007/s13592-021-00906-1,Scopus,Trigona,Trigona,1,Trigona
376,376,Different repetitive DNA sequences make up heterochromatin in Meliponini,2020,10.1007/s13592-020-00766-1,Scopus,Tetragonisca,Tetragonisca,1,Tetragonisca
377,377,"The post-embryonic changes in melipona quadrifasciata anthidioides lep. (hym., Apoidea)",1969,10.1508/cytologia.34.369,Scopus,Melipona,Melipona,1,Melipona
378,378,"Melipona stingless bees and honey microbiota reveal the diversity, composition, and modes of symbionts transmission",2024,10.1093/femsec/fiae063,Scopus,Melipona,Melipona,1,Melipona
379,379,Isolation and characterization of 15 microsatellite loci in the stingless bee Plebeia remota (Apidae: Meliponini),2011,10.1007/s12686-010-9369-0,Scopus,Plebeia,Plebeia,1,Plebeia
380,380,A molecular phylogeny and the evolution of nest architecture and behavior in Trigona s.s. (Hymenoptera: Apidae: Meliponini),2008,10.1051/apido:2007051,Scopus,Trigona,Trigona,1,Trigona
381,381,A molecular phylogeny of the Old World stingless bees (Hymenoptera: Apidae: Meliponini) and the non-monophyly of the large genus Trigona,2007,10.1111/j.1365-3113.2006.00362.x,Scopus,Multiple,Multiple,3,Heterotrigona; Melipona; Trigona
382,382,Development of a species-diagnostic marker and its application for population genetics studies of the stingless bee Trigona collina in Thailand,2010,10.4238/vol9-2gmr775,Scopus,Trigona,Trigona,1,Trigona
383,383,Extinction of anciently associated gut bacterial symbionts in a clade of stingless bees,2021,10.1038/s41396-021-01000-1,Scopus,Melipona,Melipona,1,Melipona
