doc_index,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,doc_id,article_id,title,year,source_database,genus_raw,genus_for_stm,mentioned_genera,journal,doi
343,0.011005849956038797,0.008010067366859386,0.4352684081664108,0.43492617080210827,8.37887962821074e-4,0.012054409876098076,0.005779245145731115,0.09021542995180691,0.0018666383322887491,3.589243983629543e-5,343,343,"First draft genome assembly of the malaysian stingless bee, heterotrigona itama (Apidae, meliponinae)",2020,Scopus,Heterotrigona,Heterotrigona,Heterotrigona,DATA,10.3390/data5040112
344,0.016486554632831194,4.985040816454434e-4,0.016750047194075225,0.008997304969909668,0.004002926530237587,0.19092140862029572,0.7461459550972342,0.006688856523037503,5.386950052021915e-4,0.008969747345531322,344,344,Genetic characterization of melipona subnitida stingless bee in Brazilian Northeast,2019,Scopus,Melipona,Melipona,Melipona,SOCIOBIOLOGY,10.13102/sociobiology.v66i4.3408
345,0.005173616364073797,1.82244386230374e-5,2.099549923275162e-5,0.0012480800443836005,0.974032902064977,0.0018886530061783817,0.00578622214131813,0.00198067531116525,8.421763081025376e-5,0.009766413499237916,345,345,"Cytogenetic characterization of two species of Frieseomelittaihering, 1912 (Hymenoptera, Apidae, Meliponini)",2011,Scopus,Frieseomelitta,Frieseomelitta,Frieseomelitta,GENETICS AND MOLECULAR BIOLOGY,10.1590/s1415-47572011005000010
346,0.002234688747088684,0.009701901995861788,0.43214192641675775,1.1350972716475746e-4,9.714611589466037e-5,0.005876390485622742,0.011014334972220614,0.00788803331890892,0.5304023285611319,5.297396593479887e-4,346,346,Report on the microbiota of Melipona quadrifasciata affected by a recurrent disease,2017,Scopus,Melipona,Melipona,Melipona,JOURNAL OF INVERTEBRATE PATHOLOGY,10.1016/j.jip.2016.11.012
347,0.22951093594253014,1.7908731819454922e-4,0.002176700057417895,0.0013777545666762586,0.008000938527270105,0.20342716156593527,0.26962128003120417,0.007471749432382209,3.305100132233941e-4,0.2779038825451659,347,347,Nest architecture and genetic differentiation in a species complex of Australian stingless bees,2004,Scopus,Multiple,Multiple,Heterotrigona; Scaptotrigona; Trigona,MOLECULAR ECOLOGY,10.1111/j.1365-294x.2004.02236.x
348,0.0046890058594895225,9.038834362099957e-4,3.480479572825559e-4,6.383841278656138e-4,0.48671909368880345,0.003466067203911353,0.0012148989433244516,0.005263505168208355,0.48486773220874135,0.011889381406163668,348,348,"Feulgen-DNA response and chromatin condensation in Malpighian tubules of Melipona rufiventris and Melipona quadrifasciata (Hymenoptera, Apoidea)",2008,Scopus,Melipona,Melipona,Melipona,CELL BIOLOGY INTERNATIONAL,10.1016/j.cellbi.2008.04.010
349,0.003006837327029359,0.016728645287435073,0.6470466550755384,0.0012183674818197403,1.9197916597769933e-5,0.004467677876682758,0.006399264182978605,0.004811098534711908,0.31609733604192763,2.0492027527857634e-4,349,349,Detection and identification of Melissococcus plutonius in stingless bees (Apidae: Meliponini) from Brazil,2025,Scopus,Multiple,Multiple,Melipona; Nannotrigona; Partamona; Plebeia; Tetragonisca,JOURNAL OF INVERTEBRATE PATHOLOGY,10.1016/j.jip.2025.108418
350,0.002844809733786373,7.963162185937118e-6,3.1254865794440232e-6,7.707623240204416e-4,0.9898196040649435,0.0010366966996573077,8.215991899735634e-4,7.917022312601524e-4,1.3654783742271157e-4,0.00376718927017047,350,350,"Cytogenetic characterization of Melipona rufiventris Lepeletier 1836 and Melipona mondury Smith 1863 (Hymenoptera, Apidae) by C banding and fluorochromes staining",2008,Scopus,Melipona,Melipona,Melipona,GENETICS AND MOLECULAR BIOLOGY,10.1590/s1415-47572008000100010
351,0.002580876170599224,4.718795472466692e-4,0.0014564402356011005,0.002946001949700625,0.00293876973458184,0.44163311109400416,0.043388689445760985,0.05105390879105022,0.001787976549708127,0.45174234648174694,351,351,An optimized method for the generation of AFLP markers in a stingless bee (Melipona quadrifasciata) reveals a high degree of intracolonial genetic polymorphism,2006,Scopus,Multiple,Multiple,Melipona; Scaptotrigona,APIDOLOGIE,10.1051/apido:2006043
352,0.009167408663516176,4.877491733272928e-4,6.23601057689692e-4,0.004798946971985603,0.3475131459006971,0.0021686647161524974,0.010559130834440673,0.6142220868577914,6.628643928100506e-4,0.009796401431589266,352,352,"Cobalt chloride induces metaphase when topically applied to larvae and pupae of the stingless bee Melipona scutellaris (Hymenoptera, Apidae, Meliponini)",2013,Scopus,Melipona,Melipona,Melipona,GENETICS AND MOLECULAR RESEARCH,10.4238/2013.february.6.1
