stopword
africa
african
afrotropical
america
american
anthidioides
architecture
argentina
asia
asian
atlantic
australia
australian
bahia
biome
black
body
brazil
brazilian
brown
caasubsub
caatinga
canada
cerrado
china
chinese
color
continuous
costa
dapicmasubsub
dry
eastern
funpec
guatemala
hsubesub
india
indian
indonesia
indonesian
jalisco
john
kebangsaan
local
malaysia
malaysian
maranh
maranhao
maranhão
mesoamerica
mesoamerican
mexican
mexico
minas
nacional
national
neotropical
nov
paran
parana
paraná
paulo
peninsula
peninsular
programmes
queensland
rica
rio
santa
santo
state
stripes
sul
suptsup
tibet
universiti
upper
yellow
