"ID","genus","Status do gênero","Região/fauna principal","Subtribo","Autoridade no artigo","Nº espécies extantes","Nº espécies extintas","Nº total de espécies","n_species_in_dictionary","n_articles_species_mentions","n_species_matched","matched_species","article_ids_species_mentions","n_articles_full_binomial_mentions","n_articles_abbrev_contextual_mentions","n_articles_genus_name_mentions","n_articles_species_or_genus_mentions"
39,"Homotrigona","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina","Moure",11,0,11,11,1,1,"Homotrigona fimbriata","138",1,0,2,2
30,"Liotrigona","Extante","Afrotropical","Hypotrigonina","Cockerell",14,2,16,16,1,3,"Liotrigona bitika; Liotrigona kinzelbachi; Liotrigona madecassa","211",1,0,2,2
31,"Meliplebeia","Extante","Afrotropical","Hypotrigonina","Moure",4,0,4,4,1,1,"Meliplebeia beccarii","338",1,1,2,2
13,"Oxytrigona","Extante","Neotropical / Novo Mundo","Meliponina","Cockerell",11,0,11,11,1,1,"Oxytrigona flaveola","241",1,0,2,2
20,"Scaura","Extante","Neotropical / Novo Mundo","Meliponina","Schwarz",9,0,9,9,1,3,"Scaura latitarsis; Scaura longula; Scaura atlantica","191",1,0,2,2
26,"Trigonisca","Extante","Neotropical / Novo Mundo","Meliponina","Moure",45,0,45,45,1,1,"Trigonisca nataliae","40",1,1,2,2
10,"Mourella","Extante","Neotropical / Novo Mundo","Meliponina","Schwarz",1,0,1,1,1,1,"Mourella caerulea","290",1,1,1,1
14,"Paratrigona","Extante","Neotropical / Novo Mundo","Meliponina","Schwarz",35,0,35,35,1,1,"Paratrigona subnuda","39",1,0,1,1
36,"Ebaiotrigona","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina","Engel & Nguyen",1,0,1,1,0,0,NA,NA,0,0,2,2
6,"Geotrigona","Extante","Neotropical / Novo Mundo","Meliponina","Moure",22,0,22,22,0,0,NA,NA,0,0,1,1
42,"Papuatrigona","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina","Michener & Sakagami",1,0,1,1,0,0,NA,NA,0,0,1,1
15,"Paratrigonoides","Extante","Neotropical / Novo Mundo","Meliponina","Camargo & Roubik",1,0,1,1,0,0,NA,NA,0,0,1,1
43,"Pariotrigona","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina","Moure",1,0,1,1,0,0,NA,NA,0,0,1,1
18,"Ptilotrigona","Extante","Neotropical / Novo Mundo","Meliponina","Moure",6,0,6,6,0,0,NA,NA,0,0,1,1
24,"Trichotrigona","Extante","Neotropical / Novo Mundo","Meliponina","Camargo & Moure",2,0,2,2,0,0,NA,NA,0,0,1,1
46,"Adactylurina","Extinto","Gêneros exclusivamente fósseis","Hypotrigonina","Engel, gen. nov.",0,1,1,1,0,0,NA,NA,0,0,0,0
1,"Asperplebeia","Extante","Neotropical / Novo Mundo","Meliponina","Engel",2,0,2,2,0,0,NA,NA,0,0,0,0
47,"Cretotrigona","Extinto","Gêneros exclusivamente fósseis","Hypotrigonina","Engel",0,1,1,1,0,0,NA,NA,0,0,0,0
3,"Duckeola","Extante","Neotropical / Novo Mundo","Meliponina","Moure",2,0,2,2,0,0,NA,NA,0,0,0,0
48,"Exebotrigona","Extinto","Gêneros exclusivamente fósseis","Hypotrigonina","Engel & Michener",0,1,1,1,0,0,NA,NA,0,0,0,0
49,"Kelneriapis","Extinto","Gêneros exclusivamente fósseis","Hypotrigonina","Sakagami",0,1,1,1,0,0,NA,NA,0,0,0,0
50,"Liotrigonopsis","Extinto","Gêneros exclusivamente fósseis","Hypotrigonina","Engel",0,1,1,1,0,0,NA,NA,0,0,0,0
41,"Lisotrigona","Extante","Indomalaia / Papuásia / Austrália","Hypotrigonina","Moure",2,0,2,2,0,0,NA,NA,0,0,0,0
51,"Meliponorytes","Extinto","Gêneros exclusivamente fósseis","Hypotrigonina","Tosi",0,2,2,2,0,0,NA,NA,0,0,0,0
9,"Meliwillea","Extante","Neotropical / Novo Mundo","Meliponina","Roubik, Lobo Segura, & Camargo",1,0,1,1,0,0,NA,NA,0,0,0,0
12,"Nogueirapis","Extante","Neotropical / Novo Mundo","Meliponina","Moure",6,0,6,6,0,0,NA,NA,0,0,0,0
33,"Plebeiella","Extante","Afrotropical","Hypotrigonina","Moure",2,0,2,2,0,0,NA,NA,0,0,0,0
