doc_index,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,doc_id,article_id,title,year,source_database,genus_raw,genus_for_stm,mentioned_genera,region_for_stm,subtribe_for_stm,article_region_assignment,article_subtribe_assignment,studied_genera,n_studied_genera,journal,doi
360,0.0013571220293702043,3.499831311594818e-4,0.001326205193953274,0.0016530498696076161,7.055070360542706e-4,4.7082856013085344e-4,0.0017084529733894318,0.9898198265951517,0.001306965683053153,0.0013020589281296522,360,360,Molecular characterization of the gene feminizer in the stingless bee Melipona interrupta (Hymenoptera: Apidae) reveals association to sex and caste development,2015,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,10.1016/j.ibmb.2015.09.008
361,0.003566831380611446,8.653058128186018e-5,0.003487533039903653,6.25996884305251e-4,0.0025135120535259175,0.005325023201953414,0.27843501875507265,0.5815233542664225,0.0018294510553118896,0.12260674878161155,361,361,"Genetic structure of colonies and a male aggregation in the stingless bee Scaptotrigona postica, as revealed by microsatellite analysis",2000,Scopus,Scaptotrigona,Scaptotrigona,Scaptotrigona,Neotropical,Meliponina,Neotropical,Meliponina,Scaptotrigona,1,INSECTES SOCIAUX,10.1007/s000400050010
362,0.19289360616735923,5.62266861151824e-5,0.007358545518157765,0.0032055831236619836,0.006246191981189469,0.020967992532477744,0.6795704419824288,0.07700917684558974,0.0016728250213141438,0.011019410141706007,362,362,The role of sex-biased dispersion in promoting mitonuclear discordance in Partamona helleri (Hymenoptera: Apidae: Meliponini),2022,Scopus,Partamona,Partamona,Partamona,Neotropical,Meliponina,Neotropical,Meliponina,Partamona,1,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1093/biolinnean/blac046
363,0.004403430105886099,0.003842590734544661,0.006397647816591349,0.020751147163664566,1.6325076143361975e-4,0.9513517776875925,0.009514478853709632,2.6512891132166906e-4,8.73045488714354e-4,0.0024375024765409853,363,363,"DNA BARCODING OF STINGLESS BEES FROM KALIMANTAN, INDONESIA",2026,Scopus,Multiple,Multiple,Geniotrigona; Heterotrigona; Homotrigona; Lepidotrigona; Tetragonula; Wallacetrigona,Indo-Australasian,Hypotrigonina,Indo-Australasian,Hypotrigonina,Geniotrigona; Heterotrigona; Homotrigona; Lepidotrigona; Tetragonula; Wallacetrigona,6,INDIAN JOURNAL OF ENTOMOLOGY,10.55446/ije.2025.1880
364,0.1420600943951924,4.80718652551749e-6,0.002817326896968664,5.425728940083417e-4,0.002669082091430188,0.008183495419951932,0.83675306995589,0.0032158098482539727,3.851970038583281e-4,0.003368544307920119,364,364,A geometric morphometric and microsatellite analyses of Scaptotrigona mexicana and S. pectoralis (Apidae: Meliponini) sheds light on the biodiversity of Mesoamerican stingless bees,2016,Scopus,Scaptotrigona,Scaptotrigona,Scaptotrigona,Neotropical,Meliponina,Neotropical,Meliponina,Scaptotrigona,1,JOURNAL OF INSECT CONSERVATION,10.1007/s10841-016-9899-1
365,0.00943560814583738,0.0017542198702472163,0.003935210781696404,1.8522446648481177e-4,0.0023780510315031533,0.0017089355499657476,0.002183641326124875,0.002799928780212324,0.9743883170130709,0.0012308630348572428,365,365,Assessment of the midgut microbiota in foragers of the stingless bee Melipona scutellaris following short-term sublethal exposure to imidacloprid,2025,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,PLOS ONE,10.1371/journal.pone.0339982
366,0.00716589275979305,0.006824525451652004,0.01104016794399927,0.023273827328857764,2.683953506420896e-4,0.9312227461072176,0.014158933336737838,5.301105537268512e-4,0.0017658441694966978,0.003749556997877338,366,366,Isolation and partial characterisation of DNA from the bee Proplebeia dominicana (Apidae: Hymenoptera) in 25-40 million year old amber,1992,Scopus,Proplebeia,Other_rare_genera,Proplebeia,Unassigned,Hypotrigonina,No region assigned,Hypotrigonina,Proplebeia,1,MEDICAL SCIENCE RESEARCH,
367,0.004103458084103845,6.294390114616926e-6,0.0015357677972580865,1.3273848650524267e-4,0.0017502480949259313,0.014054582324191893,0.8904134906750583,0.003185369021774859,3.74086091864192e-4,0.08444396503420304,367,367,"New molecular evidence for fragmentation between two distant populations of the threatened stingless bee Melipona subnitida Ducke (Hymenoptera, Apidae, Meliponini)",2014,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,JOURNAL OF HYMENOPTERA RESEARCH,10.3897/jhr.38.7302
368,0.0016608516128006198,0.005153324352873596,0.004808195107902966,4.041855352335237e-4,1.8044274315765144e-4,0.0030231016100124722,0.001061482915436666,9.214142601126407e-4,0.9824644186934561,3.2258316901339246e-4,368,368,Microbial diversity in stingless bee gut is linked to host wing size and influenced by the environment,2023,Scopus,Multiple,Multiple,Austroplebeia; Tetragonula,Indo-Australasian,Hypotrigonina,Indo-Australasian,Hypotrigonina,Austroplebeia; Tetragonula,2,JOURNAL OF INVERTEBRATE PATHOLOGY,10.1016/j.jip.2023.107909
369,3.0826542673922144e-4,7.111345620077644e-5,6.377274385899267e-4,2.068676094774595e-5,0.0022496269637001685,0.007113743005173058,0.08960274578878322,0.002528544278837636,7.766552571311945e-4,0.896690891623897,369,369,"Isoenzyme variation in Melipona rufiventris (Hymenoptera: Apidae, Meliponina) in Minas Gerais State, Brazil",2005,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,BIOCHEMICAL GENETICS,10.1007/s10528-005-1066-4
