topic,prob,frex,lift,score,short_label
1,"evolution, genome, dna, molecular, phylogeny, size, phylogenetic, analyses, social, two, group, clade","clades, ecology, taxonomy, clade, selection, size, influence, evolution, cytometry, cuticular, relationships, hypothesis","opsin, influence, framework, ecology, find, combining, integrative, sensu, includes, light, infer, discuss","influence, evolution, genome, cytometry, clades, cuticular, size, ecology, opsin, relationships, mitochondrial, phylogenetic",T1: clades / ecology / taxonomy
2,"honey, bacteria, acid, isolated, lactic, bacterial, lab, food, strain, activity, isolates, lactobacillus","lactic, lab, probiotic, bacillus, yeast, fungus, isolates, strain, isolated, acid, strains, bacteria","ani, applications, aureus, culture, fructobacillus, gram, plantarum, staphylococcus, antibiotic, ascomycetes, ascomycota, bacillus","bacteria, lactic, probiotic, lab, isolates, polyploidy, lactobacillus, strain, bacterial, fungus, strains, bacillus",T2: lactic / lab / probiotic
3,"honey, apis, colonies, production, mellifera, plant, pollen, virus, viruses, native, plants, forest","production, virus, viruses, plant, plants, apis, metabarcoding, mellifera, viral, transmission, honey, dorsata","bqcv, dwv, medicinal, production, viral, virus, viruses, dorsata, enhancing, infections, plant, flowers","production, virus, viruses, honey, dwv, bqcv, pollen, viral, metabarcoding, mellifera, plant, deformed",T3: production / virus / viruses
4,"genome, gene, mitochondrial, genes, rna, sequence, mitogenome, dna, phylogeny, complete, evolution, analysis","mitogenome, rearrangement, heteroplasmy, complete, pcgs, trna, genome, transfer, rna, mitochondrial, codon, protein-coding","code, coding, d-loop, dinucleotide, heteroplasmy, mitogenome, pcgs, rnas, trna, unusual, codon, phylogenomics","mitogenome, genome, mitochondrial, pcgs, rearrangement, trna, heteroplasmy, transfer, protein-coding, dinucleotide, codon, mitogenomes",T4: mitogenome / rearrangement / heteroplasmy
5,"chromosome, heterochromatin, chromosomes, karyotype, cytogenetic, number, dna, analysis, evolution, staining, chromosomal, hybridization","karyotype, cytogenetic, cytogenetics, heterochromatic, situ, fluorochrome, karyotypic, heterochromatin, chromosomes, chromosome, fish, c-banding","autosome, centric, centromeric, diamidino, dnas, fission, formula, fusion, karyotyping, localization, markings, phenylindole","heterochromatin, chromosome, chromosomes, karyotype, cytogenetic, supernumerary, chromosomal, heterochromatic, repetitive, staining, cytogenetics, fluorochrome",T5: karyotype / cytogenetic / cytogenetics
6,"dna, mitochondrial, sequence, molecular, analysis, genetic, identification, sequences, restriction, morphological, coi, gene","numts, restriction, coi, fragment, its, morphological, barcoding, oxidase, length, polymerase, cytochrome, chain","bootstrap, ecori, identifications, methodology, mitocondrial, numt, numts, sscp, transcribed, possibility, rflp, pcr-rflp","numts, mitochondrial, restriction, barcoding, polymorphism, coi, mtdna, its, haplotypes, fragment, numt, amplification",T6: numts / restriction / coi
7,"genetic, population, populations, microsatellite, diversity, structure, differentiation, gene, variation, conservation, colonies, variability","population, populations, microsatellite, geometric, microsatellites, differentiation, structure, issr, geographic, flow, genetic, southern","amova, cytb, equilibrium, scientific, upgma, analyzing, barrier, concerns, demographic, fragmentation, fsubstsub, geometric","populations, microsatellite, genetic, geometric, microsatellites, issr, heterozygosity, loci, morphometrics, morphometry, variability, variation",T7: population / populations / microsatellite
8,"gene, expression, genes, males, workers, social, queens, caste, male, sex, determination, insect","queens, caste, sex, juvenile, hormone, reproductive, determination, males, mating, workers, expressed, diploid","cdna, egg, hormones, methyl, mrna, ovary, pupa, pupal, queens, transcripts, underlying, virgin","sex, males, expression, juvenile, caste, diploid, queens, hormone, workers, expressed, reproductive, transcriptome",T8: queens / caste / sex
9,"gut, microbiota, microbiome, bacterial, bacteria, animal, expression, detoxification, composition, animals, microbial, changes","microbiome, detoxification, exposure, malpighian, microbiomes, sublethal, gut, symbionts, microbiota, tubules, response, pesticide","detoxification, exposure, lep, malpighian, neonicotinoid, pesticide, responses, symbiont, tubule, tubules, acetobacteraceae, agrochemicals","gut, microbiota, microbiome, bacterial, sublethal, bacteria, exposure, detoxification, malpighian, microbiomes, microbial, lep",T9: microbiome / detoxification / exposure
10,"two, genetic, subspecies, marker, polymorphic, polymorphism, variation, one, colonies, markers, dehydrogenase, observed","dehydrogenase, subspecies, polymorphic, rapd, enzyme, marker, frequency, gerais, isoenzymes, bands, amplified, polymorphism","allozyme, isoenzyme, dehydrogenase, electrophoresis, esterases, gel, glycerol, glycerol-phosphate, hexokinase, isocitrate, isoenzymes, isozymes","subspecies, dehydrogenase, polymorphic, polymorphism, rapd, hexokinase, esterases, electrophoretic, electrophoresis, glycerol-phosphate, phosphate, isoenzymes",T10: dehydrogenase / subspecies / polymorphic
