doc_index,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,doc_id,article_id,title,year,source_database,genus_raw,genus_for_stm,mentioned_genera,region_for_stm,subtribe_for_stm,article_region_assignment,article_subtribe_assignment,studied_genera,n_studied_genera,journal,doi
264,0.0016526646525026024,0.9136762427568673,0.020217974870451343,0.05965316155822626,1.86384097188803e-4,0.0029119126386377503,3.213752728025636e-5,7.988536634704535e-4,8.283127705180554e-4,4.2355464856522873e-5,264,264,"Bacterial diversity of stingless bee honey in Yunnan, China: isolation and genome sequencing of a novel acid-resistant Lactobacillus pentosus (SYBC-MI) with probiotic and L. tryptophan producing potential via millet fermentation",2023,Scopus,Trigona,Trigona,Trigona,Unassigned,Unassigned,No region assigned,No subtribe assigned,NA,0,FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,10.3389/fbioe.2023.1272308
265,1.1141619099621784e-4,8.648787626741484e-4,5.5352492670933e-4,3.441408852316837e-5,0.0033108832981390795,0.005669556108764131,0.008329647574411951,0.00546755283754161,0.0017315330377600348,0.9739265931744804,265,265,"Isoenzymatic characterization of the hexokinase in the development of Plebeia droryana (Hymenoptera, Apidae) and its relation with flight activity; [Caracterização isoenzimática da hexoquinase no desenvolvimento de Plebeia droryana (Hymenoptera, Apidae) e sua relação com a atividade de vôo.]",1995,Scopus,Plebeia,Plebeia,Plebeia,Neotropical,Meliponina,Neotropical,Meliponina,Plebeia,1,REVISTA BRASILEIRA DE BIOLOGIA,
266,0.0012616429874885784,0.002374837740508479,0.9834312673053777,6.409657696435932e-4,2.6680260942927824e-5,0.002786844459998711,0.003480942507555266,0.002382197489527412,0.003223467183225208,3.9115429573227656e-4,266,266,Trouble in the tropics: Pathogen spillover is a threat for native stingless bees,2023,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,BIOLOGICAL CONSERVATION,10.1016/j.biocon.2023.110150
267,0.0019908816360034946,0.05402928605028922,0.007380842748690479,4.2612213954558144e-4,0.0034982327695923907,0.002639336758963476,4.8343553537890955e-4,0.004903346664648774,0.920621853038587,0.004026662658300203,267,267,Supplementary Diets Impact the Abundance of Core Bacteria in the Gut of a Managed Stingless Bee but Not Its Fat Body Size,2025,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,JOURNAL OF APPLIED ENTOMOLOGY,10.1111/jen.13422
268,5.74022878390772e-4,0.0011705929116602024,3.774045411947149e-4,2.305812964392226e-4,0.08588971856152161,0.01439981283501024,0.009754200677277555,0.002869266397487097,0.0013532134756496462,0.883381186425369,268,268,"Inheritance pattern of RAPD markers in Melipona quadrifasciata (Hymenoptera: Apidae, Meliponinae)",2001,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,JOURNAL OF HEREDITY,10.1093/jhered/92.3.279
269,0.00260628711849768,0.8520744625868493,0.1324028861652907,0.0040095241115536044,4.72217870602266e-5,0.003728570690140934,2.3043788192681486e-4,0.0011750758541369554,0.0035440339561639486,1.8149984838019317e-4,269,269,"Comprehensive Insights into Malaysian Stingless Bee Honey: Biodiversity, Therapeutic Benefits, and Analytical Approaches",2025,Scopus,Multiple,Multiple,Geniotrigona; Heterotrigona,Unassigned,Unassigned,No region assigned,No subtribe assigned,NA,0,MALAYSIAN JOURNAL OF CHEMISTRY,10.55373/mjchem.v27i1.61
270,0.003752888952687445,0.0011049177147288542,6.902645642931543e-5,0.0029411622522003845,0.9879917768412211,0.0016461223392388701,5.774298484752452e-4,1.8038092986962794e-4,6.487959922455516e-4,0.0010874986729041167,270,270,Cytogenetic characterization of Austroplebeia australis: evolutionary hints from a stingless bee outside the Neotropical region,2022,Scopus,Austroplebeia,Other_rare_genera,Austroplebeia,Indo-Australasian,Hypotrigonina,Indo-Australasian,Hypotrigonina,Austroplebeia,1,APIDOLOGIE,10.1007/s13592-022-00969-8
271,0.005166224603095365,0.6835482887867307,0.24243556356712426,0.005511249948885931,0.0029488357639813035,0.012720395020612684,8.316816222719073e-4,0.006512959659880035,0.03641540651786882,0.0039093945095491035,271,271,Home Sweet Home: Yeasts Living in Substrates Associated with Melipona scutellaris in the Brazilian Atlantic Forest,2024,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,SOCIOBIOLOGY,10.13102/sociobiology.v71i2.10359
272,0.005480449978421827,0.001891445712882056,0.27395634898731064,0.0010478794850765816,0.0010820229187151987,0.011149408092531076,0.29194404502017407,0.29931404681042184,0.007964242147514804,0.10617011084695198,272,272,Gene Flow from Wild to Managed Colonies in the Stingless Bee Scaptotrigona Mexicana and an Update on its Mating Frequency,2021,Scopus,Scaptotrigona,Scaptotrigona,Scaptotrigona,Neotropical,Meliponina,Neotropical,Meliponina,Scaptotrigona,1,JOURNAL OF APICULTURAL SCIENCE,10.2478/jas-2021-0020
273,0.8199747151468627,0.002415045966900955,0.0883080094704977,0.06063896605495796,0.0038233132531769504,0.010224639763759036,0.006824477782159658,0.0057058688929833784,0.0020044086392508073,8.055502945152368e-5,273,273,A molecular phylogeny of the stingless bee genus Melipona (Hymenoptera: Apidae),2010,Scopus,Melipona,Melipona,Melipona,Neotropical,Meliponina,Neotropical,Meliponina,Melipona,1,MOLECULAR PHYLOGENETICS AND EVOLUTION,10.1016/j.ympev.2010.04.026
274,0.0061098866261974135,0.003101352593024353,0.002930022601523149,0.15021020213567088,3.7682981442217214e-4,0.8319337809714777,0.0036840118921252175,2.731305771568325e-4,3.857242029036405e-4,9.950585854988808e-4,274,274,Conserved numts mask a highly divergent mitochondrial-COI gene in a species complex of Australian stingless bees Tetragonula (Hymenoptera: Apidae),2019,Scopus,Multiple,Multiple,Melipona; Tetragonula,Indo-Australasian,Hypotrigonina,Indo-Australasian,Hypotrigonina,Tetragonula,1,"MITOCHONDRIAL DNA PART A: DNA MAPPING, SEQUENCING, AND ANALYSIS",10.1080/24701394.2019.1665036
