"ID","Nome científico","Gênero","Subgênero","Epíteto específico","Status da espécie","Região/fauna","Subtribo","n_articles_ai_studied_species","n_candidate_articles_species","studied_article_ids","studied_titles"
162,"Nogueirapis batistai","Nogueirapis","NA","batistai","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
163,"Nogueirapis butteli","Nogueirapis","NA","butteli","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
164,"Nogueirapis costaricana","Nogueirapis","NA","costaricana","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
165,"Nogueirapis minor","Nogueirapis","NA","minor","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
166,"Nogueirapis mirandula","Nogueirapis","NA","mirandula","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
167,"Nogueirapis rosariae","Nogueirapis","NA","rosariae","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
168,"Oxytrigona chocoana","Oxytrigona","NA","chocoana","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
169,"Oxytrigona daemoniaca","Oxytrigona","NA","daemoniaca","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
170,"Oxytrigona flaveola","Oxytrigona","NA","flaveola","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"241","Karyotypic description of the stingless bee Oxytrigona cf. flaveola (Hymenoptera, Apidae, Meliponina) of a colony from Tangará da Serra, Mato Grosso state, Brazil"
171,"Oxytrigona huaoranii","Oxytrigona","NA","huaoranii","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
172,"Oxytrigona ignis","Oxytrigona","NA","ignis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
173,"Oxytrigona isthmina","Oxytrigona","NA","isthmina","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
174,"Oxytrigona mediorufa","Oxytrigona","NA","mediorufa","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
175,"Oxytrigona mellicolor","Oxytrigona","NA","mellicolor","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
176,"Oxytrigona mulfordi","Oxytrigona","NA","mulfordi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
177,"Oxytrigona obscura","Oxytrigona","NA","obscura","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
178,"Oxytrigona tataira","Oxytrigona","NA","tataira","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
179,"Paratrigona impunctata","Paratrigona","Aparatrigona","impunctata","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
180,"Paratrigona isopterophila","Paratrigona","Aparatrigona","isopterophila","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
181,"Paratrigona anduzei","Paratrigona","Paratrigona","anduzei","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
182,"Paratrigona catabolonota","Paratrigona","Paratrigona","catabolonota","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
183,"Paratrigona compsa","Paratrigona","Paratrigona","compsa","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
184,"Paratrigona crassicornis","Paratrigona","Paratrigona","crassicornis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
185,"Paratrigona eutaeniata","Paratrigona","Paratrigona","eutaeniata","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
186,"Paratrigona euxanthospila","Paratrigona","Paratrigona","euxanthospila","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
187,"Paratrigona femoralis","Paratrigona","Paratrigona","femoralis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
188,"Paratrigona glabella","Paratrigona","Paratrigona","glabella","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
189,"Paratrigona guatemalensis","Paratrigona","Paratrigona","guatemalensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
190,"Paratrigona guigliae","Paratrigona","Paratrigona","guigliae","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
191,"Paratrigona haeckeli","Paratrigona","Paratrigona","haeckeli","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
192,"Paratrigona incerta","Paratrigona","Paratrigona","incerta","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
193,"Paratrigona intermedia","Paratrigona","Paratrigona","intermedia","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
194,"Paratrigona lineata","Paratrigona","Paratrigona","lineata","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
195,"Paratrigona lineatifrons","Paratrigona","Paratrigona","lineatifrons","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
196,"Paratrigona lophocoryphe","Paratrigona","Paratrigona","lophocoryphe","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
197,"Paratrigona lundelli","Paratrigona","Paratrigona","lundelli","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
198,"Paratrigona melanaspis","Paratrigona","Paratrigona","melanaspis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
199,"Paratrigona myrmecophila","Paratrigona","Paratrigona","myrmecophila","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
200,"Paratrigona nuda","Paratrigona","Paratrigona","nuda","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
201,"Paratrigona onorei","Paratrigona","Paratrigona","onorei","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
202,"Paratrigona opaca","Paratrigona","Paratrigona","opaca","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
203,"Paratrigona ornaticeps","Paratrigona","Paratrigona","ornaticeps","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
204,"Paratrigona pacifica","Paratrigona","Paratrigona","pacifica","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
205,"Paratrigona pannosa","Paratrigona","Paratrigona","pannosa","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
206,"Paratrigona peltata","Paratrigona","Paratrigona","peltata","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
207,"Paratrigona permixta","Paratrigona","Paratrigona","permixta","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
208,"Paratrigona prosopiformis","Paratrigona","Paratrigona","prosopiformis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
209,"Paratrigona rinconi","Paratrigona","Paratrigona","rinconi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
210,"Paratrigona scapisetosa","Paratrigona","Paratrigona","scapisetosa","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
211,"Paratrigona subnuda","Paratrigona","Paratrigona","subnuda","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"39","Genome size diversity in stingless bees (Hymenoptera: Apidae, Meliponini)"
212,"Paratrigona uwa","Paratrigona","Paratrigona","uwa","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
213,"Paratrigona wasbaueri","Paratrigona","Paratrigona","wasbaueri","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
214,"Paratrigonoides mayri","Paratrigonoides","NA","mayri","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
215,"Partamona brevipilosa","Partamona","Parapartamona","brevipilosa","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
216,"Partamona zonata","Partamona","Parapartamona","zonata","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
217,"Partamona aequatoriana","Partamona","Partamona","aequatoriana","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
218,"Partamona ailyae","Partamona","Partamona","ailyae","Extante","Neotropical / Novo Mundo","Meliponina",2,2,"15; 276","Exploring genetic and morphometric variations in Partamona ailyae, a widely distributed neotropical stingless bee of South America; Comparative cytogenetic analysis of three species of the genus Partamona (Apidae, Meliponini)"
219,"Partamona auripennis","Partamona","Partamona","auripennis","Extante","Neotropical / Novo Mundo","Meliponina",2,2,"28; 331","Chromosome Evolution in the Genus Partamona (Apidae: Meliponini), with Comments on B Chromosome Origin; Comparative molecular cytogenetics in five species of stingless bees (Hymenoptera, Apidae)"
220,"Partamona batesi","Partamona","Partamona","batesi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
221,"Partamona bilineata","Partamona","Partamona","bilineata","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"53","Fragmentation in the clouds? The population genetics of the native bee Partamona bilineata (Hymenoptera: Apidae: Meliponini) in the cloud forests of Guatemala"
222,"Partamona chapadicola","Partamona","Partamona","chapadicola","Extante","Neotropical / Novo Mundo","Meliponina",2,2,"313; 329","Occurrence and Origin of Supernumerary Chromosomes in Partamona (Hymenoptera: Apidae: Meliponini); Different Levels of Chromatin Condensation in Partamona chapadicola and Partamona nhambiquara (Hymenoptera, Apidae)"
223,"Partamona combinata","Partamona","Partamona","combinata","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
224,"Partamona criptica","Partamona","Partamona","criptica","Extante","Neotropical / Novo Mundo","Meliponina",1,2,"102","Possible introgression of B chromosomes between bee species (genus partamona)"
225,"Partamona cupira","Partamona","Partamona","cupira","Extante","Neotropical / Novo Mundo","Meliponina",6,6,"102; 108; 135; 313; 322; 331","Possible introgression of B chromosomes between bee species (genus partamona); Genetic and morphometric variation in populations of Partamona cupira and Partamona mulata, stingless bees endemic to the Cerrado biome in Brazil; Cytogenetic characterization of Partamona cupira (Hymenoptera, Apidae) by fluorochromes; Occurrence and Origin of Supernumerary Chromosomes in Partamona (Hymenoptera: Apidae: Meliponini); Supernumerary chromosomes in Partamona cupira (Hymenoptera, Apidae, Meliponinae); Comparative molecular cytogenetics in five species of stingless bees (Hymenoptera, Apidae)"
226,"Partamona epiphytophila","Partamona","Partamona","epiphytophila","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
227,"Partamona ferreirai","Partamona","Partamona","ferreirai","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
228,"Partamona grandipennis","Partamona","Partamona","grandipennis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
229,"Partamona gregaria","Partamona","Partamona","gregaria","Extante","Neotropical / Novo Mundo","Meliponina",2,2,"28; 313","Chromosome Evolution in the Genus Partamona (Apidae: Meliponini), with Comments on B Chromosome Origin; Occurrence and Origin of Supernumerary Chromosomes in Partamona (Hymenoptera: Apidae: Meliponini)"
230,"Partamona helleri","Partamona","Partamona","helleri","Extante","Neotropical / Novo Mundo","Meliponina",25,25,"55; 63; 76; 87; 88; 92; 102; 135; 148; 149; 163; 179; 201; 205; 207; 217; 243; 254; 276; 307; 313; 321; 331; 349; 362","Genetic structure of Partamona helleri (Apidae, Meliponini) from Neotropical Atlantic rainforest; A RAPD marker associated with B chromosomes in Partamona helleri (Hymenoptera, Apidae); Alelle number and heterozigosity for microsatellite loci in different stingless bee species (Hymenoptera: Apidae, Meliponini); Development of a SCAR marker for the analysis of B chromosome presence in Partamona helleri (Hymenoptera, Apidae); Viruses in Brazilian stingless bees; Genetic variability in five populations of Partamona helleri (Hymenoptera, Apidae) from Minas Gerais state, Brazil; Possible introgression of B chromosomes between bee species (genus partamona); Cytogenetic characterization of Partamona cupira (Hymenoptera, Apidae) by fluorochromes; A Genetically Modified Anti-Plasmodium Bacterium Is Harmless to the Foragers of the Stingless Bee Partamona helleri; The impact of early-life exposure to three agrochemicals on survival, behavior, and gut microbiota of stingless bees (Partamona helleri); Cytogenetic characterization of two partamona species (Hymenoptera, Apinae, Meliponini) by fluorochrome staining and localization of 18S rDNA Clusters by FISH; Mitochondrial DNA characterization of two Partamona species (Hymenoptera, Apidae, Meliponini) by PCR+RFLP and sequencing; New occurrence of B chromosomes in Partamona helleri (Friese, 1900) (Hymenoptera, Meliponini); Inter- and intra-population B chromosome variability in Partamona helleri (Apidae: Meliponini); Unprecedented record of ten novel B chromosomes in the stingless bee Partamona helleri (Apidae, Meliponini); First karyotype characterization of four species of Partamona (Friese, 1980) (Hymenoptera, Apidae, Meliponinae) in Mato Grosso State, Brazil; Further evidences of an emerging stingless bee-yeast symbiosis; Characterization and distribution of supernumerary chromosomes in 23 colonies of Partamona helleri (Hymenoptera, Apidae, Meliponinae); Comparative cytogenetic analysis of three species of the genus Partamona (Apidae, Meliponini); Investigation of Partamona helleri (Apidae, Meliponini) B chromosome origin. An approach by microdissection and whole chromosome painting; ..."
231,"Partamona littoralis","Partamona","Partamona","littoralis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
232,"Partamona mourei","Partamona","Partamona","mourei","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
233,"Partamona mulata","Partamona","Partamona","mulata","Extante","Neotropical / Novo Mundo","Meliponina",6,6,"76; 81; 108; 126; 179; 217","Alelle number and heterozigosity for microsatellite loci in different stingless bee species (Hymenoptera: Apidae, Meliponini); Isolation and characterization of ten microsatellite loci in stingless bee Trigona spinipes (Apidae: Meliponini); Genetic and morphometric variation in populations of Partamona cupira and Partamona mulata, stingless bees endemic to the Cerrado biome in Brazil; Very low mitochondrial variability in a stingless bee endemic to cerrado; Mitochondrial DNA characterization of two Partamona species (Hymenoptera, Apidae, Meliponini) by PCR+RFLP and sequencing; First karyotype characterization of four species of Partamona (Friese, 1980) (Hymenoptera, Apidae, Meliponinae) in Mato Grosso State, Brazil"
234,"Partamona musarum","Partamona","Partamona","musarum","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
235,"Partamona nhambiquara","Partamona","Partamona","nhambiquara","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"329","Different Levels of Chromatin Condensation in Partamona chapadicola and Partamona nhambiquara (Hymenoptera, Apidae)"
236,"Partamona nigrior","Partamona","Partamona","nigrior","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
237,"Partamona orizabaensis","Partamona","Partamona","orizabaensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
238,"Partamona pearsoni","Partamona","Partamona","pearsoni","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
239,"Partamona peckolti","Partamona","Partamona","peckolti","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
240,"Partamona rustica","Partamona","Partamona","rustica","Extante","Neotropical / Novo Mundo","Meliponina",4,4,"28; 59; 102; 313","Chromosome Evolution in the Genus Partamona (Apidae: Meliponini), with Comments on B Chromosome Origin; Phylogeography of Partamona rustica (Hymenoptera, Apidae), an endemic stingless bee from the neotropical dry forest diagonal; Possible introgression of B chromosomes between bee species (genus partamona); Occurrence and Origin of Supernumerary Chromosomes in Partamona (Hymenoptera: Apidae: Meliponini)"
241,"Partamona seridoensis","Partamona","Partamona","seridoensis","Extante","Neotropical / Novo Mundo","Meliponina",3,3,"3; 89; 163","Pleistocene climate changes shaped the population structure of Partamona seridoensis (Apidae, Meliponini), an endemic stingless bee from the Neotropical dry forest; Gene variation, population differentiation, and sociogenetic structure of nests of partamona seridoensis (Hymenoptera: Apidae, Meliponini); Cytogenetic characterization of two partamona species (Hymenoptera, Apinae, Meliponini) by fluorochrome staining and localization of 18S rDNA Clusters by FISH"
242,"Partamona sooretamae","Partamona","Partamona","sooretamae","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"276","Comparative cytogenetic analysis of three species of the genus Partamona (Apidae, Meliponini)"
243,"Partamona subtilis","Partamona","Partamona","subtilis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
244,"Partamona testacea","Partamona","Partamona","testacea","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"253","DNA Barcoding of Stingless Bees (Hymenoptera: Meliponini) in Northern Peruvian Forests: A Plea for Integrative Taxonomy"
245,"Partamona vicina","Partamona","Partamona","vicina","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"217","First karyotype characterization of four species of Partamona (Friese, 1980) (Hymenoptera, Apidae, Meliponinae) in Mato Grosso State, Brazil"
246,"Partamona vitae","Partamona","Partamona","vitae","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
247,"Partamona xanthogastra","Partamona","Partamona","xanthogastra","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
248,"Partamona yungarum","Partamona","Partamona","yungarum","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
249,"Plebeia asthenes","Plebeia","Nanoplebeia","asthenes","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
250,"Plebeia chondra","Plebeia","Nanoplebeia","chondra","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
251,"Plebeia franki","Plebeia","Nanoplebeia","franki","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"253","DNA Barcoding of Stingless Bees (Hymenoptera: Meliponini) in Northern Peruvian Forests: A Plea for Integrative Taxonomy"
252,"Plebeia margaritae","Plebeia","Nanoplebeia","margaritae","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
253,"Plebeia minima","Plebeia","Nanoplebeia","minima","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
254,"Plebeia orphne","Plebeia","Nanoplebeia","orphne","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
255,"Plebeia pleres","Plebeia","Nanoplebeia","pleres","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
256,"Plebeia alvarengai","Plebeia","Plebeia","alvarengai","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
257,"Plebeia amydra","Plebeia","Plebeia","amydra","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
258,"Plebeia aurantia","Plebeia","Plebeia","aurantia","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
259,"Plebeia catamarcensis","Plebeia","Plebeia","catamarcensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
260,"Plebeia cora","Plebeia","Plebeia","cora","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
261,"Plebeia deceptrix","Plebeia","Plebeia","deceptrix","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
262,"Plebeia droryana","Plebeia","Plebeia","droryana","Extante","Neotropical / Novo Mundo","Meliponina",9,9,"86; 97; 168; 191; 265; 349; 379; 387; 391","Proportion of males sons-of-the-queen and sons-of-workers in Plebeia droryana (Hymenoptera, Apidae) estimated from data of an MDH isozymic polymorphic system; Mitochondrial DNA characterization of five species of Plebeia (Apidae: Meliponini): RFLP and restriction maps; Glycerol-3-phosphate dehydrogenase (G-3-PDH; EC 1.1.1.8) variation in adult Plebeia droryana bees (Apidae, hymenoptera); Characterization of microsatellite loci for the stingless bee Scaura latitarsis (Hymenoptera, Apidae, Meliponini); Isoenzymatic characterization of the hexokinase in the development of Plebeia droryana (Hymenoptera, Apidae) and its relation with flight activity; [Caracterização isoenzimática da hexoquinase no desenvolvimento de Plebeia droryana (Hymenoptera, Apidae) e sua relação com a atividade de vôo.]; Detection and identification of Melissococcus plutonius in stingless bees (Apidae: Meliponini) from Brazil; Isolation and characterization of 15 microsatellite loci in the stingless bee Plebeia remota (Apidae: Meliponini); GENETIC-VARIABILITY IN NATURAL-POPULATIONS OF BRAZILIAN SOCIAL BEES .2. ELECTROPHORETIC DATA FOR PGM AND MDH GIVE EVIDENCE FOR MULTIPLE FERTILIZATIONS IN STINGLESS BEES; GENETIC-VARIABILITY IN NATURAL-POPULATIONS OF BRAZILIAN SOCIAL BEES .1. ISOZYME PATTERNS AND POLYMORPHISM FOR ESTERASES AND TOTAL PROTEIN"
263,"Plebeia emerina","Plebeia","Plebeia","emerina","Extante","Neotropical / Novo Mundo","Meliponina",2,2,"97; 379","Mitochondrial DNA characterization of five species of Plebeia (Apidae: Meliponini): RFLP and restriction maps; Isolation and characterization of 15 microsatellite loci in the stingless bee Plebeia remota (Apidae: Meliponini)"
264,"Plebeia emerinoides","Plebeia","Plebeia","emerinoides","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
265,"Plebeia flavocincta","Plebeia","Plebeia","flavocincta","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"66","Evidence for morphological and genetic structuring of Plebeia flavocincta (Apidae: Meliponini) populations in Northeast Brazil"
266,"Plebeia frontalis","Plebeia","Plebeia","frontalis","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"253","DNA Barcoding of Stingless Bees (Hymenoptera: Meliponini) in Northern Peruvian Forests: A Plea for Integrative Taxonomy"
267,"Plebeia fulvopilosa","Plebeia","Plebeia","fulvopilosa","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
268,"Plebeia goeldiana","Plebeia","Plebeia","goeldiana","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
269,"Plebeia grapiuna","Plebeia","Plebeia","grapiuna","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
270,"Plebeia guazurary","Plebeia","Plebeia","guazurary","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
271,"Plebeia hyperplastica","Plebeia","Plebeia","hyperplastica","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
272,"Plebeia jatiformis","Plebeia","Plebeia","jatiformis","Extante","Neotropical / Novo Mundo","Meliponina",2,2,"5; 342","Honey characterization and identification of fructophilic lactic acid bacteria of fresh samples from Melipona beecheii, Scaptotrigona pectoralis, Plebeia llorentei, and Plebeia jatiformis hives; Characterization and identification of lactic acid bacteria from Mexican stingless bees (Apidae: Meliponini)"
273,"Plebeia julianii","Plebeia","Plebeia","julianii","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
274,"Plebeia kerri","Plebeia","Plebeia","kerri","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
275,"Plebeia llorentei","Plebeia","Plebeia","llorentei","Extante","Neotropical / Novo Mundo","Meliponina",2,2,"5; 342","Honey characterization and identification of fructophilic lactic acid bacteria of fresh samples from Melipona beecheii, Scaptotrigona pectoralis, Plebeia llorentei, and Plebeia jatiformis hives; Characterization and identification of lactic acid bacteria from Mexican stingless bees (Apidae: Meliponini)"
276,"Plebeia lucii","Plebeia","Plebeia","lucii","Extante","Neotropical / Novo Mundo","Meliponina",2,2,"183; 379","Chromosomal variation and cytogenetics of plebeia lucii and P. phrynostoma (Hymenoptera: Apidae); Isolation and characterization of 15 microsatellite loci in the stingless bee Plebeia remota (Apidae: Meliponini)"
277,"Plebeia malaris","Plebeia","Plebeia","malaris","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
278,"Plebeia manantlensis","Plebeia","Plebeia","manantlensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
279,"Plebeia mansita","Plebeia","Plebeia","mansita","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
280,"Plebeia melanica","Plebeia","Plebeia","melanica","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
281,"Plebeia meridionalis","Plebeia","Plebeia","meridionalis","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"379","Isolation and characterization of 15 microsatellite loci in the stingless bee Plebeia remota (Apidae: Meliponini)"
282,"Plebeia mexica","Plebeia","Plebeia","mexica","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
283,"Plebeia molesta","Plebeia","Plebeia","molesta","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
284,"Plebeia mosquito","Plebeia","Plebeia","mosquito","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
285,"Plebeia mutisi","Plebeia","Plebeia","mutisi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
286,"Plebeia nigriceps","Plebeia","Plebeia","nigriceps","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
287,"Plebeia nigrifacies","Plebeia","Plebeia","nigrifacies","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
288,"Plebeia parkeri","Plebeia","Plebeia","parkeri","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
289,"Plebeia peruvicola","Plebeia","Plebeia","peruvicola","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
290,"Plebeia phrynostoma","Plebeia","Plebeia","phrynostoma","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"183","Chromosomal variation and cytogenetics of plebeia lucii and P. phrynostoma (Hymenoptera: Apidae)"
291,"Plebeia plectoforma","Plebeia","Plebeia","plectoforma","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
292,"Plebeia poecilochroa","Plebeia","Plebeia","poecilochroa","Extante","Neotropical / Novo Mundo","Meliponina",1,1,"167","Karyotypes and Chromosomal Mapping of Some Repetitive DNAs in Two Stingless Bee Species (Apidae: Meliponini), with the Description of a B Chromosome in Plebeia Genus"
293,"Plebeia pulchra","Plebeia","Plebeia","pulchra","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
294,"Plebeia remota","Plebeia","Plebeia","remota","Extante","Neotropical / Novo Mundo","Meliponina",6,6,"76; 82; 97; 111; 191; 379","Alelle number and heterozigosity for microsatellite loci in different stingless bee species (Hymenoptera: Apidae, Meliponini); Molecular genetic diversity in populations of the stingless bee Plebeia remota: A case study; Mitochondrial DNA characterization of five species of Plebeia (Apidae: Meliponini): RFLP and restriction maps; Morphometrical, biochemical and molecular tools for assessing biodiversity. An example in Plebeia remota (Holmberg, 1903) (Apidae, Meliponini); Characterization of microsatellite loci for the stingless bee Scaura latitarsis (Hymenoptera, Apidae, Meliponini); Isolation and characterization of 15 microsatellite loci in the stingless bee Plebeia remota (Apidae: Meliponini)"
295,"Plebeia roubiki","Plebeia","Plebeia","roubiki","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
296,"Plebeia saiqui","Plebeia","Plebeia","saiqui","Extante","Neotropical / Novo Mundo","Meliponina",2,2,"97; 379","Mitochondrial DNA characterization of five species of Plebeia (Apidae: Meliponini): RFLP and restriction maps; Isolation and characterization of 15 microsatellite loci in the stingless bee Plebeia remota (Apidae: Meliponini)"
297,"Plebeia silveirai","Plebeia","Plebeia","silveirai","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
298,"Plebeia tigris","Plebeia","Plebeia","tigris","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
299,"Plebeia tobagoensis","Plebeia","Plebeia","tobagoensis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
300,"Plebeia variicolor","Plebeia","Plebeia","variicolor","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
301,"Plebeia vidali","Plebeia","Plebeia","vidali","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
302,"Plebeia wittmanni","Plebeia","Plebeia","wittmanni","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
303,"Ptilotrigona camargoi","Ptilotrigona","Camargoia","camargoi","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
304,"Ptilotrigona nordestina","Ptilotrigona","Camargoia","nordestina","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
305,"Ptilotrigona pilicornis","Ptilotrigona","Camargoia","pilicornis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
306,"Ptilotrigona lurida","Ptilotrigona","Ptilotrigona","lurida","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
307,"Ptilotrigona occidentalis","Ptilotrigona","Ptilotrigona","occidentalis","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
308,"Ptilotrigona pereneae","Ptilotrigona","Ptilotrigona","pereneae","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
309,"Scaptotrigona ascheri","Scaptotrigona","Astegotrigona","ascheri","Extante","Neotropical / Novo Mundo","Meliponina",0,0,"",""
